"GEOID","suffix","n"
"54021","RD",260
"54023","RD",256
"54025","RD",977
"54027","RD",927
"54029","ST",394
"54031","RD",580
"54033","ST",959
"54035","RD",720
"54037","LN",669
"54039","RD",2048
"54041","RD",418
"54043","RD",700
"54045","RD",1073
"54047","RD",914
"54049","ST",757
"54051","RD",290
"54053","RD",638
"54055","RD",1202
"54057","RD",425
"54059","RD",495
"54061","RD",1020
"54063","RD",652
"54065","LN",801
"54067","RD",988
"54069","ST",367
"54071","RD",368
"54073","RD",265
"54075","RD",511
"54077","RD",756
"54079","RD",598
"54081","RD",939
"54083","RD",483
"54085","RD",346
"54087","RD",360
"54089","RD",580
"54091","RD",308
"54093","RD",304
"54095","RD",273
"54097","RD",505
"54099","RD",798
"54101","RD",326
"54103","RD",349
"54105","RD",186
"54107","ST",887
"54109","RD",795
"55001","AVE",351
"55003","RD",755
"55005","ST",1324
"55007","RD",1495
"55009","CT",920
"55011","RD",538
"55013","RD",883
"55015","RD",343
"55017","ST",1434
"55019","RD",780
"55021","RD",814
"55023","RD",521
"55025","RD",2223
"55027","RD",936
"55029","RD",854
"55031","RD",1380
"55033","ST",868
"55035","RD",597
"55037","RD",489
"55039","ST",651
"55041","RD",564
"55043","ST",819
"55045","RD",478
"55047","ST",276
"55049","RD",538
"55051","RD",556
"55053","RD",899
"55055","ST",593
"55057","RD",572
"55059","AVE",1248
"55061","RD",258
"55063","RD",706
"55065","RD",397
"55067","RD",549
"55069","RD",760
"55071","ST",642
"55073","ST",1008
"55075","RD",1198
"55077","ST",189
"55078","RD",219
"55079","ST",3173
"55081","AVE",747
"55083","LN",1100
"55085","RD",1380
"55087","ST",1045
"55089","CT",556
"55091","LN",179
"55093","ST",800
"55095","ST",927
"55097","RD",536
"55099","RD",737
"55101","DR",835
"55103","LN",636
"55105","DR",961
"55107","RD",584
"55109","ST",804
"55111","RD",802
"55113","RD",1207
"55115","RD",718
"55117","ST",568
"55119","RD",265
"55121","RD",688
"55123","RD",768
"55125","RD",1527
"55127","RD",865
"55129","RD",772
"55131","DR",922
"55133","DR",2601
"55135","RD",993
"55137","AVE",289
"55139","ST",714
"55141","ST",583
"56001","RD",700
"56003","ST",204
"56005","RD",517
"56007","ST",474
"56009","RD",317
"56011","RD",505
"56013","RD",777
"56015","RD",172
"56017","RD",207
"56019","RD",307
"56021","RD",830
"56023","RD",420
"56025","RD",859
"56027","RD",178
"56029","RD",476
"56031","RD",478
"56033","RD",408
"56035","RD",488
"56037","ST",428
"56039","RD",875
"56041","RD",198
"56043","RD",282
"56045","RD",209
"60010","001",10
"60020","20",3
"60050","RD",11
"66010","ST",1213
"69100","RD",13
"69110","DR",171
"69120","BROADWAY",3
"72001","10",10
"72003","VECINAL",63
"72005","NOMBRE",21
"72007","781",8
"72009","FLORES",7
"72011","A",47
"72013","2",96
"72015","3",23
"72017","4",19
"72019","TORRES",16
"72021","1",110
"72023","NOMBRE",75
"72025","ST",229
"72027","RIVERA",14
"72029","1",43
"72031","1",43
"72033","INTERIOR",29
"72035","2",27
"72037","DR",26
"72039","A",10
"72041","CAMINO",25
"72043","2",28
"72045","782",8
"72047","VECINAL",80
"72049","FONT",9
"72051","2",23
"72053","3",41
"72054","CHIMENEA",15
"72055","2",35
"72057","VECINAL",40
"72059","PASTO",143
"72061","1",42
"72063","2",28
"72065","2",75
"72067","ENTRADA",15
"72069","2",36
"72071","1",20
"72073","143",21
"72075","1",60
"72077","3",20
"72079","1",14
"72081","431",12
"72083","SUR",14
"72085","VECINAL",20
"72087","1",20
"72089","2",19
"72091","VECINAL",19
"72093","PANORAMICA",12
"72095","PRIV",21
"72097","ORTIZ",28
"72099","NOMBRE",74
"72101","CAM",90
"72103","CSN",25
"72105","FERRER",19
"72107","143",36
"72109","3",16
"72111","1",20
"72113","2",83
"72115","NIEVES",15
"72117","SALIDA",35
"72119","CSN",45
"72121","2",15
"72123","1",38
"72125","2",22
"72127","1",127
"72129","NOMBRE",42
"72131","NOMBRE",52
"72133","1",30
"72135","1",55
"72137","2",27
"72139","2",55
"72141","A",32
"72143","VECINAL",157
"72145","A",25
"72147","NOMBRE",13
"72149","C",18
"72151","PRIV",45
"72153","1",20
"78010","RD",199
"78020","RD",86
"78030","RD",203
