"GEOID","suffix","n"
"17133","RD",379
"17135","ST",799
"17137","RD",594
"17139","ST",359
"17141","RD",697
"17143","ST",947
"17145","RD",556
"17147","ST",476
"17149","ST",873
"17151","RD",211
"17153","RD",227
"17155","ST",223
"17157","ST",782
"17159","N",279
"17161","AVE",1102
"17163","DR",2249
"17165","RD",559
"17167","ST",1370
"17169","RD",327
"17171","RD",227
"17173","ST",515
"17175","ST",161
"17177","RD",572
"17179","ST",1221
"17181","LN",342
"17183","RD",1424
"17185","ST",161
"17187","ST",693
"17189","ST",536
"17191","ST",289
"17193","ST",438
"17195","RD",624
"17197","DR",3205
"17199","ST",1072
"17201","DR",1331
"17203","ST",620
"18001","ST",317
"18003","DR",2131
"18005","DR",616
"18007","ST",251
"18009","ST",237
"18011","ST",338
"18013","RD",383
"18015","ST",316
"18017","ST",438
"18019","DR",721
"18021","ST",474
"18023","ST",448
"18025","RD",361
"18027","ST",361
"18029","LN",501
"18031","ST",262
"18033","ST",425
"18035","ST",778
"18037","ST",495
"18039","DR",1169
"18041","ST",203
"18043","DR",574
"18045","ST",423
"18047","RD",481
"18049","ST",261
"18051","ST",532
"18053","ST",964
"18055","ST",491
"18057","DR",2248
"18059","DR",530
"18061","NE",499
"18063","DR",1222
"18065","ST",535
"18067","ST",509
"18069","ST",429
"18071","ST",364
"18073","ST",300
"18075","ST",358
"18077","RD",327
"18079","W",268
"18081","DR",1005
"18083","RD",742
"18085","ST",811
"18087","E",264
"18089","ST",2830
"18091","ST",802
"18093","RD",672
"18095","ST",1391
"18097","DR",4582
"18099","RD",688
"18101","RD",278
"18103","ST",461
"18105","DR",829
"18107","ST",411
"18109","RD",631
"18111","ST",281
"18113","ST",490
"18115","RD",103
"18117","ST",362
"18119","RD",590
"18121","ST",271
"18123","RD",465
"18125","ST",276
"18127","DR",940
"18129","RD",503
"18131","W",265
"18133","ST",285
"18135","ST",422
"18137","ST",284
"18139","ST",285
"18141","ST",1510
"18143","RD",245
"18145","ST",349
"18147","N",343
"18149","ST",309
"18151","LAKE",394
"18153","ST",516
"18155","RD",337
"18157","DR",870
"18159","ST",227
"18161","RD",158
"18163","DR",1040
"18165","ST",386
"18167","ST",1273
"18169","ST",403
"18171","ST",175
"18173","RD",585
"18175","RD",634
"18177","ST",727
"18179","ST",262
"18181","ST",388
"18183","ST",210
"19001","ST",367
"19003","ST",179
"19005","RD",285
"19007","ST",590
"19009","ST",247
"19011","ST",363
"19013","ST",850
"19015","ST",531
"19017","ST",363
"19019","ST",424
"19021","ST",395
"19023","ST",519
"19025","ST",355
"19027","ST",519
"19029","ST",412
"19031","ST",473
"19033","ST",385
"19035","ST",340
"19037","ST",317
"19039","ST",341
"19041","ST",348
"19043","ST",545
"19045","ST",578
"19047","ST",433
"19049","ST",896
"19051","ST",505
"19053","ST",586
"19055","ST",560
"19057","ST",672
"19059","ST",380
"19061","ST",582
"19063","ST",263
"19065","ST",467
"19067","ST",300
"19069","ST",332
"19071","ST",366
"19073","ST",410
"19075","ST",309
"19077","ST",439
"19079","ST",363
"19081","ST",271
"19083","ST",524
"19085","ST",498
"19087","ST",603
"19089","ST",224
"19091","ST",261
"19093","ST",228
"19095","ST",439
"19097","ST",620
"19099","ST",461
"19101","ST",382
"19103","NE",644
"19105","ST",495
"19107","ST",678
"19109","ST",503
"19111","ST",572
"19113","NE",764
"19115","ST",458
"19117","ST",349
"19119","ST",273
"19121","ST",356
"19123","ST",602
"19125","ST",633
"19127","ST",565
"19129","ST",338
"19131","ST",378
"19133","ST",451
"19135","ST",282
