"GEOID","suffix","n","proportion"
"08005","ST",2321,0.182110631620243
"08007","CT",312,0.209395973154362
"08009","ST",136,0.124542124542125
"08011","ST",82,0.12443095599393
"08013","DR",1234,0.167072840509071
"08014","ST",279,0.144634525660964
"08015","ST",197,0.12026862026862
"08017","S",32,0.0692640692640693
"08019","RD",302,0.299009900990099
"08021","ST",140,0.198581560283688
"08023","RD",567,0.301756253326237
"08025","ST",57,0.14321608040201
"08027","RD",282,0.264540337711069
"08029","RD",800,0.436442989634479
"08031","ST",2490,0.369436201780415
"08033","ST",49,0.0786516853932584
"08035","DR",1557,0.17480633209835
"08037","RD",670,0.211891208096142
"08039","CIR",225,0.149601063829787
"08041","DR",3272,0.234149134106197
"08043","ST",380,0.157089706490285
"08045","RD",316,0.141387024608501
"08047","RD",282,0.377005347593583
"08049","DR",295,0.106115107913669
"08051","RD",272,0.153412295544275
"08053","ST",41,0.168032786885246
"08055","RD",188,0.173913043478261
"08057","ST",33,0.0787589498806683
"08059","ST",2975,0.217216705607477
"08061","ST",81,0.167701863354037
"08063","ST",146,0.147773279352227
"08065","ST",101,0.17595818815331
"08067","DR",537,0.205118411000764
"08069","DR",2764,0.237334707195604
"08071","ST",301,0.157180156657963
"08073","ST",94,0.108045977011494
"08075","ST",201,0.172384219554031
"08077","RD",1309,0.250766283524904
"08079","RD",92,0.187372708757637
"08081","ST",156,0.166666666666667
"08083","ST",245,0.126028806584362
"08085","RD",937,0.462259496793291
"08087","ST",235,0.179115853658537
"08089","ST",241,0.249224405377456
"08091","DR",104,0.162754303599374
"08093","RD",1019,0.270148462354189
"08095","AVE",73,0.172985781990521
"08097","RD",411,0.296109510086455
"08099","ST",236,0.209777777777778
"08101","DR",1260,0.218902015288395
"08103","ST",80,0.167364016736402
"08105","RD",177,0.187698833510074
"08107","LN",232,0.116994452849218
"08109","TRL",132,0.0948957584471603
"08111","ST",64,0.321608040201005
"08113","RD",413,0.322152886115445
"08115","ST",57,0.167155425219941
"08117","RD",457,0.186226568867156
"08119","RD",446,0.190191897654584
"08121","AVE",58,0.0543580131208997
"08123","ST",1538,0.192562914736447
"08125","ST",226,0.207339449541284
"09110","RD",4065,0.252171215880893
"09120","RD",1128,0.216798001153181
"09130","RD",1853,0.361843389962898
"09140","RD",1981,0.231128223077821
"09150","RD",1155,0.442528735632184
"09160","RD",1793,0.469248887725726
"09170","RD",2166,0.237369863013699
"09180","RD",1685,0.265396125374075
"09190","RD",3602,0.296217105263158
"10001","DR",1095,0.210455506438593
"10003","DR",2453,0.208854831843338
"10005","RD",2102,0.167276778608945
"11001","NW",1450,0.395095367847411
"12001","AVE",2245,0.193651341326663
"12003","RD",638,0.343195266272189
"12005","DR",942,0.16607898448519
"12007","ST",596,0.396276595744681
"12009","DR",2389,0.168774284705051
"12011","ST",6469,0.218591606406704
"12013","RD",528,0.423416198877306
"12015","AVE",1665,0.191225450786723
"12017","CT",1116,0.129481378350157
"12019","CT",957,0.196994648003294
"12021","DR",1249,0.156909547738693
"12023","RD",877,0.152734238941135
"12027","AVE",550,0.29681597409606
"12029","ST",923,0.402529437418229
"12031","DR",2930,0.15752688172043
"12033","DR",2043,0.214803911260646
"12035","LN",647,0.194879518072289
"12037","ST",376,0.274052478134111
"12039","RD",704,0.286878565607172
"12041","ST",276,0.24360105913504
"12043","RD",228,0.193712829226848
"12045","RD",389,0.249518922386145
"12047","ST",149,0.12855910267472
"12049","RD",428,0.327467482785004
"12051","ST",504,0.216309012875536
"12053","RD",1050,0.175
"12055","RD",1416,0.183967779654411
"12057","DR",5557,0.234571549176868
"12059","RD",461,0.38036303630363
"12061","AVE",782,0.158395786915131
"12063","RD",810,0.255359394703657
"12065","RD",396,0.285714285714286
"12067","RD",427,0.36873920552677
"12069","DR",1976,0.168313458262351
"12071","CT",3205,0.133798113050013
"12073","DR",1473,0.19681988241582
"12075","ST",897,0.212861888941623
"12077","RD",290,0.363408521303258
"12079","RD",473,0.215883158375171
"12081","E",3094,0.262827047230717
"12083","ST",2712,0.163956229974004
"12085","ST",564,0.135870874488075
"12086","ST",8356,0.265860642698059
"12087","DR",609,0.177189409368635
"12089","RD",867,0.226075619295958
"12091","DR",1201,0.17270635605407
"12093","ST",674,0.375069560378408
"12095","DR",4741,0.209066454998457
"12097","CT",1208,0.179069077972132
"12099","DR",4637,0.17801067219471
"12101","DR",3632,0.270298429709012
"12103","N",3958,0.218940148246487
"12105","DR",3366,0.179023508137432
"12107","ST",1184,0.204455189086514
"12109","DR",1202,0.181653317213239
"12111","ST",1243,0.164744864148443
"12113","RD",1316,0.16220880069025
"12115","DR",2522,0.179642424674122
"12117","CT",1760,0.18193094893529
"12119","ST",567,0.101612903225806
"12121","RD",606,0.217126477964887
"12123","RD",674,0.33300395256917
"12125","LN",208,0.119266055045872
"12127","DR",2663,0.197742630132918
"12129","RD",431,0.26089588377724
"12131","RD",1245,0.240533230293663
"12133","RD",763,0.322348964934516
"13001","RD",689,0.505131964809384
"13003","LN",269,0.287086446104589
"13005","RD",351,0.379049676025918
"13007","RD",287,0.496539792387543
"13009","RD",252,0.179359430604982
"13011","RD",355,0.369022869022869
"13013","DR",403,0.19980168567179
"13015","SE",514,0.142698500832871
"13017","RD",379,0.378621378621379
"13019","RD",637,0.38960244648318
"13021","DR",1034,0.244617932339721
"13023","RD",278,0.443381180223285
"13025","RD",617,0.418588873812754
"13027","RD",370,0.326566637246249
"13029","RD",393,0.28939617083947
"13031","RD",1033,0.319814241486068
